bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	cluster	pct_counts_mt_below_15
34_12_54__s1	631	868	1164	16.820276	0	0
34_12_68__s1	794	1210	1609	20.495869	0	0
34_13_27__s1	1010	1511	1994	16.611515	0	0
34_13_42__s1	1350	2304	3179	15.154147	4	0
34_13_50__s1	753	1139	1527	20.983318	0	0
34_13_68__s1	800	1257	1639	18.21798	0	0
34_14_10__s1	872	1329	1795	19.187359	7	0
34_14_62__s1	2441	4540	6078	19.762062	5	0
34_15_08__s1	1129	1787	2379	23.3352	2	0
34_15_09__s1	887	1382	1889	22.88197	1	0
34_15_15__s1	1513	2509	3432	19.505384	0	0
34_15_22__s1	1120	1808	2414	20.188053	0	0
34_15_53__s1	688	1132	1524	23.409895	1	0
34_15_56__s1	981	1496	2044	20.187166	0	0
34_16_08__s1	956	1518	2071	20.55336	5	0
34_16_55__s1	598	847	1138	18.417946	0	0
34_17_04__s1	764	1118	1493	19.141323	0	0
34_17_09__s1	1743	3068	4164	14.667537	0	1
34_17_69__s1	609	878	1146	20.159452	0	0
34_17_72__s1	1207	1851	2539	15.991356	3	0
34_18_13__s1	1565	2745	3739	17.091837	0	0
34_18_64__s1	1008	1491	2021	14.419852	2	1
34_18_73__s1	779	1044	1393	12.835249	0	1
34_18_84__s1	1367	2331	3153	21.974249	3	0
34_19_02__s1	829	1154	1512	12.911612	2	1
34_19_28__s1	683	975	1274	15.589744	0	0
34_19_41__s1	1149	1768	2369	16.063349	0	0
34_19_42__s1	1487	2344	3232	13.871105	5	1
34_19_47__s1	921	1323	1754	15.419501	0	0
34_19_83__s1	1277	2002	2703	20.52947	0	0
34_19_94__s1	751	1212	1645	24.009901	0	0
34_20_04__s1	1598	2963	3901	24.70469	6	0
34_20_06__s1	1154	1666	2201	7.3873878	2	1
34_20_40__s1	1410	2280	3057	16.666668	0	0
34_20_61__s1	1136	1888	2543	22.840488	0	0
34_20_65__s1	1629	2710	3665	11.845018	0	1
34_20_92__s1	571	830	1102	20.361446	0	0
34_21_21__s1	1100	1749	2365	22.597254	3	0
34_21_22__s1	696	956	1217	15.585774	5	0
34_21_36__s1	1707	3126	4170	20.326504	0	0
34_21_56__s1	933	1566	2060	23.243935	4	0
