bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	leiden	pct_counts_mt_below_7
79_67_77	370	456	462	10.769231	1	0
79_67_82	377	457	466	8.971553	0	0
79_67_88	1213	1680	1716	6.1455846	2	1
79_68_08	345	420	430	8.333334	0	0
79_68_37	324	385	394	8.571429	2	0
79_68_79	396	466	480	7.7586203	0	0
79_69_39	349	405	418	4.9382715	2	1
79_69_56	677	843	862	5.2194543	0	1
79_69_82	678	799	827	4.1301627	1	1
79_70_01	642	769	782	5.078125	0	1
79_70_68	517	608	627	7.0840197	1	0
79_70_80	364	434	444	5.773672	0	1
79_72_08	802	990	1010	4.8533874	1	1
79_72_36	1875	2706	2767	6.1390533	1	1
79_72_45	424	514	529	4.6692605	0	1
79_72_53	324	369	375	5.9620595	0	1
79_72_88	1022	1306	1343	7.279693	0	0
79_75_95	494	581	596	6.36833	1	1
79_76_56	463	548	566	5.504587	0	1
79_76_85	325	379	389	6.596306	0	1
79_76_96	316	361	365	3.3240995	2	1
79_77_04	332	386	392	7.5129533	0	0
79_78_15	400	483	492	12.215321	2	0
79_78_44	883	1147	1175	6.9869	0	1
79_79_75	548	669	683	6.7365265	0	1
79_80_34	460	543	553	5.893186	1	1
79_80_73	309	355	359	7.6056337	1	0
79_80_86	356	435	448	8.505748	0	0
79_81_19	371	421	430	3.8004751	2	1
79_82_81	545	675	696	8.592593	0	0
79_83_04	737	896	914	6.5921793	1	1
79_84_04	722	879	895	5.574517	0	1
79_84_16	1015	1299	1321	6.1680803	2	1
79_84_32	466	532	546	7.1428576	2	0
79_84_76	325	399	405	7.052897	2	0
79_84_92	351	416	430	7.4519234	2	0
79_86_31	456	562	581	6.9518714	0	1
79_86_37	508	609	624	7.5782537	1	0
79_86_73	477	555	564	3.6101084	0	1
79_86_76	353	419	428	9.069213	1	0
79_86_78	1100	1434	1479	6.3503137	2	1
79_87_15	396	483	489	7.660455	2	0
79_87_32	405	485	494	6.8041234	1	1
79_87_76	337	391	402	6.138108	2	1
79_88_42	581	679	692	6.047198	2	1
79_88_51	434	511	524	4.892368	1	1
79_88_81	346	387	396	5.9585495	1	1
79_89_06	325	389	398	5.927835	2	1
79_89_17	355	414	430	8.212561	1	0
79_89_79	362	433	446	10.854504	0	0
79_90_04	526	640	653	8.607199	0	0
79_90_22	358	403	411	7.4626865	1	0
79_90_85	332	403	414	7.21393	1	0
79_90_96	979	1253	1295	7.428115	0	0
79_91_19	463	530	543	6.805293	1	1
79_91_22	522	627	640	6.379585	0	1
79_91_79	334	379	387	5.820106	0	1
79_92_88	506	659	678	10.015175	2	0
79_93_12	308	358	369	4.1899443	0	1
79_93_39	332	402	409	4.7381544	0	1
79_94_21	395	463	471	7.173913	0	0
79_94_22	998	1322	1358	5.5261164	0	1
79_94_63	313	356	365	9.269663	1	0
79_94_84	426	502	518	5.788423	0	1
80_01_14	367	424	432	6.382979	0	1
80_01_34	300	341	352	5.2785926	2	1
