bc_wells	mread_count
02_41_62	1097
02_41_77	1530
02_41_84	1066
02_42_15	414
02_42_48	801
02_42_52	1999
02_42_63	1180
02_42_76	0
02_42_78	2209
02_43_19	3664
02_43_58	818
02_43_81	329
02_43_91	479
02_44_01	238
02_44_19	1068
02_44_58	1058
02_44_76	273
02_44_79	3378
02_45_15	1411
02_45_38	0
02_45_40	1629
02_45_70	769
02_46_47	816
02_46_51	1569
02_46_75	1557
02_46_78	857
02_46_96	4795
02_47_07	789
02_47_13	358
02_47_14	3616
02_47_34	349
02_47_36	1854
02_47_65	834
02_47_76	388
02_47_79	0
02_48_24	3569
02_48_25	1329
02_48_28	615
02_48_37	1926
02_48_52	1220
02_48_75	1811
02_48_90	385
02_49_11	741
02_49_18	1425
02_49_22	1113
02_49_93	2038
02_50_02	582
02_50_34	620
02_50_36	0
02_50_46	1885
02_50_50	0
02_50_53	157
02_50_62	2471
02_50_81	700
02_51_01	792
02_51_15	1779
02_51_29	2340
02_51_49	580
02_51_53	0
02_51_59	988
02_51_61	0
02_51_68	8020
02_51_70	952
02_51_71	478
02_51_76	2704
02_51_91	0
02_52_07	881
02_52_21	1255
02_52_37	277
02_52_55	2489
02_52_61	3433
02_52_91	1158
02_53_05	900
02_53_10	1970
02_53_11	1357
02_53_20	1654
02_53_22	506
02_53_41	2075
02_53_50	331
02_53_51	1281
02_53_70	982
02_53_72	158
02_54_43	0
02_54_74	2088
02_54_78	692
02_54_92	108
02_55_15	1574
02_55_41	103
02_55_60	0
02_55_65	2894
02_56_04	4123
02_56_39	1806
02_56_76	9713
02_56_95	5548
02_57_03	3223
02_57_10	1035
02_57_25	427
02_57_35	2743
02_57_42	2142
02_57_45	1818
02_57_62	489
02_57_93	928
02_57_94	1109
02_57_95	1451
02_58_13	418
02_58_29	422
02_58_55	168
02_58_66	1160
02_58_82	2060
02_58_85	0
02_59_18	1087
02_59_42	1411
02_59_51	2664
02_59_53	5432
02_59_55	573
02_60_07	651
02_60_15	997
02_60_18	772
02_60_60	1105
02_60_74	174
02_61_01	1948
02_61_08	1994
02_61_27	4701
02_61_32	493
02_61_50	3160
02_62_06	538
02_62_13	1775
02_62_25	979
02_62_36	774
02_62_54	1279
02_62_77	3068
02_62_96	1017
02_63_17	2224
02_63_27	3016
02_63_43	2224
02_63_69	0
02_63_71	1548
02_64_07	5160
02_64_30	1212
02_64_33	2699
02_64_41	1384
02_65_06	1396
02_65_07	4278
02_65_26	0
02_65_70	891
02_65_80	1938
02_65_82	3583
02_65_85	2552
02_65_90	7500
02_66_15	972
02_66_20	3837
02_66_38	956
02_66_58	0
02_66_82	1135
02_66_85	3695
02_66_96	4227
02_67_03	3974
02_67_25	147
02_67_35	2303
02_67_37	2586
02_67_56	141
02_67_66	1649
02_67_80	3154
02_68_07	6668
02_68_10	0
02_68_53	4529
02_68_55	2531
02_68_57	2161
02_68_94	754
02_69_14	5258
02_69_26	6439
02_69_52	2384
02_69_70	1981
02_69_88	981
02_70_21	1479
02_70_29	733
02_70_40	252
02_70_81	814
02_70_93	1674
02_71_01	0
02_71_17	2686
02_71_47	0
02_71_69	220
02_71_94	1360
02_72_04	0
02_72_18	1688
02_72_35	2229
02_72_64	1290
02_72_84	745
02_73_01	377
02_73_17	944
02_73_75	1812
02_74_30	514
02_74_65	1287
02_74_67	536
02_74_72	251
02_74_73	681
02_74_93	1552
02_75_02	0
02_75_05	0
02_75_22	1623
02_75_33	2727
02_75_40	731
02_75_44	1978
02_75_53	1611
02_75_61	1044
02_76_47	959
02_76_63	3286
02_76_76	601
02_76_81	3278
02_76_85	1044
02_77_25	148
02_77_33	66
02_77_49	3357
02_77_72	0
02_77_84	0
02_78_11	437
02_78_19	374
