guide,bc_wells
guide_A,03_17_89
guide_A,03_18_30
guide_A,03_18_49
guide_A,03_18_55
guide_A,03_18_58
guide_A,03_18_64
guide_A,03_18_76
guide_A,03_19_07
guide_A,03_19_55
guide_A,03_19_87
guide_A,03_19_90
guide_A,03_20_37
guide_A,03_21_11
guide_A,03_21_85
guide_A,03_22_12
guide_A,03_22_45
guide_A,03_23_14
guide_A,03_23_21
guide_A,03_23_68
guide_A,03_23_75
guide_A,03_24_09
guide_A,03_24_33
guide_A,03_24_39
guide_A,03_24_59
guide_A,03_24_68
guide_A,03_24_94
guide_A,03_25_01
guide_A,03_25_04
guide_A,03_25_34
guide_A,03_26_44
guide_A,03_26_91
guide_A,03_27_09
guide_A,03_27_84
guide_A,03_28_21
guide_A,03_29_15
guide_A,03_29_78
guide_A,03_30_31
guide_A,03_30_47
guide_A,03_30_78
guide_A,03_30_85
guide_A,03_31_12
guide_A,03_31_15
guide_A,03_31_19
guide_A,03_31_54
guide_A,03_31_74
guide_A,03_31_77
guide_A,03_31_96
guide_A,03_32_02
guide_A,03_32_42
guide_A,03_32_60
guide_A,03_32_73
guide_A,03_32_90
guide_A,03_32_96
guide_A,03_33_02
guide_A,03_33_58
guide_A,03_33_91
guide_A,03_34_05
guide_A,03_34_15
guide_A,03_34_28
guide_A,03_34_80
guide_A,03_34_93
guide_A,03_35_41
guide_A,03_35_49
guide_A,03_35_95
guide_A,03_36_04
guide_A,03_36_06
guide_A,03_36_28
guide_A,03_36_32
guide_A,03_36_75
guide_A,03_36_90
guide_A,03_37_07
guide_A,03_37_34
guide_A,03_37_88
guide_A,03_38_07
guide_A,03_38_10
guide_A,03_38_16
guide_A,03_38_18
guide_A,03_38_81
guide_A,03_38_85
guide_A,03_39_17
guide_A,03_39_39
guide_A,03_39_91
guide_A,03_40_27
guide_A,03_40_80
guide_A,03_41_42
guide_A,03_41_51
guide_A,03_41_67
guide_A,03_41_71
guide_A,03_42_58
guide_A,03_42_67
guide_A,03_43_87
guide_A,03_44_14
guide_A,03_44_67
guide_A,03_44_69
guide_A,03_44_94
guide_A,03_45_01
guide_A,03_45_13
guide_A,03_45_26
guide_A,03_46_45
guide_A,03_46_60
guide_A,03_46_90
guide_A,03_47_78
guide_A,03_48_01
guide_A,03_48_24
guide_A,03_48_42
guide_A,03_48_67
guide_A,03_48_70
guide_A,03_49_09
guide_A,03_50_04
guide_A,03_50_77
guide_A,03_50_93
guide_A,03_51_30
guide_A,03_51_47
guide_A,03_51_49
guide_A,03_51_79
guide_A,03_52_50
guide_A,03_52_95
guide_A,03_52_96
guide_A,03_53_08
guide_A,03_53_20
guide_A,03_53_44
guide_A,03_54_12
guide_A,03_54_40
guide_A,03_54_43
guide_A,03_54_56
guide_A,03_54_91
guide_A,03_54_96
guide_A,03_55_48
guide_A,03_55_94
guide_A,03_56_26
guide_A,03_56_31
guide_A,03_57_07
guide_A,03_57_13
guide_A,03_57_41
guide_A,03_57_66
guide_A,03_58_01
guide_A,03_58_14
guide_A,03_58_49
guide_A,03_58_77
guide_A,03_59_47
guide_A,03_59_51
guide_A,03_59_73
guide_A,03_60_22
guide_A,03_60_23
guide_A,03_60_41
guide_A,03_60_46
guide_A,03_60_65
guide_A,03_60_89
guide_A,03_61_48
guide_A,03_61_86
guide_A,03_62_07
guide_A,03_62_81
guide_A,03_63_04
guide_A,03_63_14
guide_A,03_63_17
guide_A,03_63_37
guide_A,03_63_39
guide_A,03_63_96
guide_A,03_64_18
guide_A,03_64_95
guide_A,03_65_35
guide_A,03_66_44
guide_A,03_67_17
guide_A,03_68_25
guide_A,03_68_33
guide_A,03_68_40
guide_A,03_68_94
guide_A,03_69_19
guide_A,03_70_66
guide_A,03_71_29
guide_A,03_71_60
guide_A,03_71_89
guide_A,03_71_93
guide_A,03_72_49
guide_A,03_73_48
guide_A,03_74_31
guide_A,03_74_80
guide_A,03_74_85
guide_A,03_75_23
guide_A,03_75_54
guide_A,03_75_68
guide_A,03_76_32
guide_A,03_76_90
guide_A,03_77_21
guide_A,03_77_88
guide_A,03_77_95
guide_A,03_78_02
guide_A,03_78_08
guide_A,03_78_15
guide_A,03_78_19
guide_A,03_78_28
guide_A,03_78_29
guide_A,03_78_38
guide_A,03_79_09
guide_A,03_79_48
guide_A,03_79_50
guide_A,03_79_87
guide_A,03_79_94
guide_A,03_80_40
guide_A,03_80_68
guide_A,03_80_78
guide_A,03_80_79
guide_A,03_81_12
guide_A,03_81_32
guide_A,03_82_32
guide_A,03_82_52
guide_A,03_82_67
guide_A,03_82_73
guide_A,03_82_89
guide_A,03_82_91
guide_A,03_82_92
guide_A,03_83_56
guide_A,03_83_82
guide_A,03_83_89
guide_A,03_84_84
guide_A,03_85_37
guide_A,03_86_01
guide_A,03_86_08
guide_A,03_86_20
guide_A,03_86_41
guide_A,03_86_62
guide_A,03_86_83
guide_A,03_87_40
guide_A,03_87_53
guide_A,03_87_61
guide_A,03_87_71
guide_A,03_88_75
guide_A,03_89_14
guide_A,03_89_18
guide_A,03_89_42
guide_A,03_89_59
guide_A,03_89_86
guide_A,03_90_26
guide_A,03_90_39
guide_A,03_90_41
guide_A,03_91_41
guide_A,03_91_48
guide_A,03_91_78
guide_A,03_92_09
guide_A,03_92_60
guide_A,03_93_80
guide_A,03_94_03
guide_A,03_94_07
guide_A,03_94_76
guide_A,03_94_85
guide_A,03_94_89
guide_A,03_94_90
guide_A,03_94_96
guide_A,03_95_01
guide_A,04_01_95
guide_A,04_01_96
guide_A,04_02_44
guide_A,04_02_78
guide_A,04_02_94
guide_A,04_03_04
guide_A,04_03_11
guide_A,04_03_45
guide_A,04_03_58
guide_A,04_03_75
guide_A,04_04_17
guide_A,04_04_20
guide_A,04_04_28
guide_A,04_04_46
guide_A,04_04_55
guide_A,04_04_68
guide_A,04_05_18
guide_A,04_05_28
guide_A,04_05_57
guide_A,04_05_85
guide_A,04_06_04
guide_A,04_06_28
guide_A,04_06_35
guide_A,04_06_39
guide_A,04_06_48
guide_A,04_06_52
guide_A,04_06_57
guide_A,04_06_59
guide_A,04_06_64
guide_A,04_07_44
guide_A,04_07_60
guide_A,04_07_66
guide_A,04_08_06
guide_A,04_08_12
guide_A,04_08_49
guide_A,04_08_61
guide_A,04_08_63
guide_A,04_08_81
guide_A,04_09_03
guide_A,04_09_17
guide_A,04_09_31
guide_A,04_10_07
guide_A,04_10_94
guide_A,04_11_02
guide_A,04_11_27
guide_A,04_11_51
guide_A,04_11_63
guide_A,04_11_78
guide_A,04_12_01
guide_A,04_12_03
guide_A,04_12_77
guide_A,04_12_92
guide_A,04_13_48
guide_A,04_13_77
guide_A,04_13_88
guide_A,04_13_93
guide_A,04_14_34
guide_A,04_14_51
guide_A,04_14_52
guide_A,04_15_28
guide_A,04_15_46
guide_A,04_15_79
guide_A,04_16_51
guide_A,04_16_59
guide_A,04_16_76
guide_A,04_17_38
guide_A,04_17_79
guide_A,04_17_90
guide_A,04_18_12
guide_A,04_18_77
guide_A,04_18_96
guide_A,04_19_03
guide_A,04_19_09
guide_A,04_19_32
guide_A,04_19_45
guide_A,04_19_70
guide_A,04_19_80
guide_A,04_20_21
guide_A,04_20_36
guide_A,04_20_49
guide_A,04_20_72
guide_A,04_20_77
guide_A,04_21_01
guide_A,04_21_15
guide_A,04_21_38
guide_A,04_21_91
guide_A,04_22_26
guide_A,04_22_49
guide_A,04_22_51
guide_A,04_23_13
guide_A,04_24_31
guide_A,04_24_52
guide_A,04_24_54
guide_A,04_24_73
guide_A,04_25_82
guide_A,04_25_86
guide_A,04_26_13
guide_A,04_27_20
guide_A,04_28_51
guide_A,04_29_35
guide_A,04_29_50
guide_A,04_29_52
guide_A,04_29_57
guide_A,04_29_62
guide_A,04_29_77
guide_A,04_30_05
guide_A,04_30_11
guide_A,04_30_68
guide_A,04_30_85
guide_A,04_31_10
guide_A,04_31_78
guide_A,04_31_96
guide_A,04_32_17
guide_A,04_32_57
guide_A,04_32_89
guide_A,04_32_96
guide_A,04_33_05
guide_A,04_33_54
guide_A,04_33_57
guide_A,04_33_74
guide_A,04_33_77
guide_A,04_34_19
guide_A,04_34_54
guide_A,04_35_91
guide_A,04_36_29
guide_A,04_36_41
guide_A,04_36_48
guide_A,04_36_58
guide_A,04_36_60
guide_A,04_36_95
guide_A,04_37_32
guide_A,04_37_36
guide_A,04_37_70
guide_A,04_38_08
guide_A,04_38_45
guide_A,04_38_57
guide_A,04_38_62
guide_A,04_39_33
guide_A,04_39_47
guide_A,04_39_91
guide_A,04_40_69
guide_A,04_41_06
guide_A,04_41_08
guide_A,04_41_33
guide_A,04_41_37
guide_A,04_41_47
guide_A,04_41_63
guide_A,04_41_75
guide_A,04_42_27
guide_A,04_42_44
guide_A,04_42_64
guide_A,04_42_65
guide_A,04_42_74
guide_A,04_42_88
guide_A,04_43_03
guide_A,04_43_27
guide_A,04_43_49
guide_A,04_44_46
guide_A,04_44_64
guide_A,04_45_10
guide_A,04_45_80
guide_A,04_46_37
guide_A,04_46_42
guide_A,04_46_87
guide_A,04_47_15
guide_A,04_48_01
guide_A,04_48_52
guide_A,04_48_58
guide_A,04_48_65
guide_A,04_49_20
guide_A,04_49_38
guide_A,04_49_51
guide_A,04_49_62
guide_A,04_50_15
guide_A,04_50_18
guide_A,04_50_44
guide_A,04_50_55
guide_A,04_50_72
guide_A,04_52_46
guide_A,04_52_52
guide_A,04_52_61
guide_A,04_52_62
guide_A,04_54_22
guide_A,04_54_67
guide_A,04_54_74
guide_A,04_55_18
guide_A,04_55_89
guide_A,04_55_96
guide_A,04_56_61
guide_A,04_56_90
guide_A,04_57_61
guide_A,04_57_78
guide_A,04_57_88
guide_A,04_58_47
guide_A,04_58_49
guide_A,04_59_15
guide_A,04_60_17
guide_A,04_60_20
